id,name,unk_4,title,unk_5,id_1,id_2,id_3,unk_1,unk_2_1,unk_2_2,unk_2_3,unk_2_4,unk_3_1,unk_3_2,unk_3_3,unk_3_4,id_creature,unk_6,unk_7,unk_8
3,"Flesh Eater","","","",987,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,6,0,0
89,"Infernal","","","",72978,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,3,108,0
304,"Felsteed","","","",2346,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,3,0,0
305,"White Stallion","","","",2410,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
416,"Imp","","","",64799,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,3,23,0
417,"Felhunter","","","",77398,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,3,15,0
444,"Lord Piglet","","","",22938,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,14,0,0
721,"Rabbit","","","",328,4626,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,8,0,0
1748,"Highlord Bolvar Fordragon","","","",5566,0,0,0,1065353216,1065353216,1065353216,1065353216,2178.000000,143.000000,0.000000,0.000000,1,7,0,0
1860,"Voidwalker","","","",77397,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,3,16,0
1863,"Succubus","","","",77396,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,3,17,0
2671,"Mechanical Squirrel","","","",7937,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
2748,"Archaedas","","Ancient Stone Watcher","",5988,0,0,0,1065353216,1065353216,1065353216,1065353216,2557.000000,0.000000,0.000000,0.000000,1,5,0,0
3524,"Spirit Wolf","","","",1236,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
3771,"Bleakheart Hellcaller","","","",2013,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,3,0,0
3823,"Ghostpaw Runner","","","",802,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1,1,0
3956,"Harklan Moongrove","","Alchemy Supplies","",4183,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,7,0,0
4075,"Rat","","","",1141,1418,2176,0,1073741824,1073741824,1065353216,0,0.000000,0.000000,0.000000,0.000000,0,8,0,0
4274,"Fenrus the Devourer","","","",20180,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,1,0,0
4275,"Archmage Arugal","","","",2353,0,0,0,0,0,0,0,6322.000000,0.000000,0.000000,0.000000,1,7,0,0
4780,"Black Ram","","","",2784,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
5198,"Arctic Riding Wolf","","","",1166,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
7109,"Jadefire Felsworn","","","",11334,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,3,0,0
7380,"Siamese Cat","","","",5585,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7381,"Silver Tabby Cat","","","",5555,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7382,"Orange Tabby Cat","","","",5554,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7383,"Black Tabby Cat","","","",5448,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7384,"Cornish Rex Cat","","","",5586,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7385,"Bombay Cat","","","",5556,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7386,"White Kitten","","","",9990,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7387,"Green Wing Macaw","","","",5207,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7388,"Cockatoo","","","",6189,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7389,"Senegal","","","",6190,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7390,"Cockatiel","","","",6191,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
