id,index,trigger_type,cooldown_charges,cooldown_duration,cooldown_group_duration,cooldown_group,id_spell,id_specialization,id_parent
2,0,0,100,-1,-1,0,7,0,17
3,0,0,-1,0,1000,11,433,0,117
4,0,0,-1,0,60000,30,439,0,118
5,0,0,-1,0,1000,59,430,0,159
6,0,0,0,-1,-1,0,7,0,192
7,0,0,-1,0,1000,11,434,0,414
8,0,0,-1,0,1000,11,435,0,422
9,0,2,0,-1,-1,0,17152,0,647
10,0,0,-1,0,1000,11,5005,0,724
13,0,0,-1,0,1000,11,435,0,733
14,0,0,-1,300000,60000,4,3591,0,737
15,0,0,0,1800000,0,0,12257,0,744
16,0,2,0,-1,-1,0,13519,0,754
17,0,0,-1,0,1000,11,433,0,787
18,0,2,0,-1,-1,0,17504,0,809
19,0,2,0,-1,-1,0,13439,0,810
20,0,2,0,-1,-1,0,18104,0,811
23,0,0,-1,0,60000,24,8312,0,835
24,0,0,-1,0,60000,30,440,0,858
25,2,1,0,-1,-1,0,18074,0,867
26,0,2,0,-1,-1,0,13752,0,869
27,0,1,0,-1,-1,0,265000,0,870
28,0,1,0,-1,-1,0,182395,0,871
29,0,0,-1,-1,-1,0,458,0,875
30,0,2,0,-1,-1,0,8552,0,880
31,0,2,0,-1,-1,0,18077,0,899
32,0,0,-1,0,60000,30,441,0,929
33,0,2,0,-1,-1,0,13524,0,934
34,0,1,0,-1,-1,0,265003,0,937
35,0,0,0,900000,0,0,18820,0,940
36,1,1,0,-1,-1,0,18799,0,942
37,0,0,-1,1000,-1,0,8118,0,954
38,0,0,-1,1000,-1,0,8096,0,955
39,0,0,-1,0,1000,11,433,0,961
40,0,0,0,-1,-1,0,133,0,996
41,0,0,-1,0,1000,11,5006,0,1017
42,0,0,-1,0,1000,11,5006,0,1082
43,0,0,-1,0,1000,11,434,0,1113
44,0,0,-1,0,1000,11,435,0,1114
45,0,0,-1,0,60000,24,145727,0,1127
46,0,1,0,-1,-1,0,7617,0,1131
47,0,0,-1,-1,3000,330,55884,0,1132
48,1,6,0,0,0,0,580,0,1132
53,0,0,-1,0,0,11,7291,0,1165
56,0,0,-1,1000,0,0,54497,0,1177
57,0,0,-1,0,60000,24,1940,0,1178
58,0,0,-1,0,1000,59,431,0,1179
59,0,0,-1,1000,-1,0,8099,0,1180
60,0,0,-1,1000,-1,0,8112,0,1181
61,0,0,-1,-1,-1,0,8176,0,1187
62,0,0,-10,0,60000,24,5917,0,1191
63,0,1,0,-1,-1,0,18097,0,1204
64,0,0,-1,0,1000,59,432,0,1205
65,0,0,-1,0,1000,150,746,0,1251
66,0,0,0,30000,30000,24,133,0,1258
67,0,0,-5,-1,1000,59,5257,0,1262
68,0,2,0,-1,-1,0,17148,0,1263
69,0,2,0,-1,-1,0,18208,0,1265
70,0,0,0,3600000,0,0,18831,0,1315
71,0,2,0,-1,-1,0,13480,0,1318
72,0,0,-1,-1,120000,1153,7396,0,1322
73,0,0,-1,-1,1000,11,434,0,1326
74,0,0,0,30000,0,0,4960,0,1352
75,0,2,0,-1,-1,0,144272,0,1387
76,0,0,-1,0,60000,24,49512,0,1399
77,0,0,-1,0,1000,11,833,0,1401
78,0,0,0,900000,0,0,835,0,1404
79,0,0,-1,0,60000,24,13424,0,1434
80,0,0,0,1800000,0,0,18826,0,1447
81,0,0,-1,0,60000,4,806,0,1450
82,0,1,0,-1,-1,0,19691,0,1465
83,0,0,-1,1000,-1,0,8116,0,1477
84,0,0,-1,1000,-1,0,8094,0,1478
85,0,1,0,-1,-1,0,265066,0,1481
86,0,2,0,-1,-1,0,144268,0,1482
87,0,0,-1,0,1000,11,1127,0,1487
88,0,1,0,-1,-1,0,4070,0,1490
89,0,0,-1,0,1000,59,1135,0,1645
90,0,0,-1,0,1000,11,1127,0,1707
91,0,0,-1,0,1000,59,1133,0,1708
92,0,0,-1,0,60000,30,2024,0,1710
93,0,0,-1,1000,-1,0,8100,0,1711
94,0,0,-1,1000,-1,0,8113,0,1712
95,0,0,0,300000,0,0,14053,0,1713
96,0,2,0,-1,-1,0,16401,0,1726
97,0,2,0,-1,-1,0,13528,0,1727
98,0,2,0,-1,-1,0,18086,0,1728
99,0,0,0,300000,0,0,8736,0,1933
100,0,0,-1,0,120000,1153,8070,0,1970
101,0,0,0,1800000,0,0,16739,0,1973
102,0,1,0,-1,-1,0,19409,0,1979
103,0,2,0,-1,-1,0,144250,0,1982
105,0,1,0,-1,-1,0,265025,0,2000
106,0,0,-1,0,1000,11,433,0,2070
107,0,0,-1,0,60000,24,1090,0,2091
108,0,1,0,-1,-1,0,29625,0,2099
109,0,0,-1,0,1000,59,432,0,2136
110,0,2,0,-1,-1,0,144246,0,2163
111,0,2,0,-1,-1,0,18107,0,2164
112,0,2,0,-1,-1,0,18217,0,2205
