id,id_encounter,id_item,flags_2,unk_1,flags_1,id_parent
9111,89,2169,255,2,1,89
9112,89,5195,255,2,1,89
9113,89,65163,255,2,2,89
9114,89,63467,255,2,2,89
9115,89,5444,255,2,1,89
9116,89,63468,255,2,2,89
9117,89,63470,255,2,2,89
9118,89,63471,255,2,2,89
9119,90,5200,255,2,1,90
9120,90,63473,255,2,2,90
9121,90,63474,255,2,2,90
9122,90,5443,255,2,1,90
9123,90,63475,255,2,2,90
9124,90,63476,255,2,2,90
9125,90,5191,255,2,1,90
9126,90,65164,255,2,2,90
9127,90,5199,255,2,1,90
9128,91,5201,255,2,1,91
9129,91,1937,255,2,1,91
9130,91,5187,255,2,1,91
9131,91,65165,255,2,2,91
9132,91,65166,255,2,2,91
9133,91,65167,255,2,2,91
9134,92,872,255,2,1,92
9135,92,65168,255,2,2,92
9136,92,65169,255,2,2,92
9137,92,65170,255,2,2,92
9138,92,1156,255,2,1,92
9139,92,5196,255,2,1,92
9140,93,5202,255,2,1,93
9141,93,65171,255,2,2,93
9142,93,65172,255,2,2,93
9143,93,65173,255,2,2,93
9144,93,65174,255,2,2,93
9145,93,5192,255,2,1,93
9146,93,5193,255,2,1,93
9147,93,65177,255,2,2,93
9148,93,5197,255,2,1,93
9149,93,5198,255,2,1,93
9150,95,63478,255,2,2,95
9151,95,63479,255,2,2,95
9153,95,65178,255,2,2,95
9154,95,63482,255,2,2,95
9155,95,63483,255,2,2,95
9156,95,63484,255,2,2,95
9157,95,63485,255,2,2,95
9158,95,63486,255,2,2,95
9160,96,63433,255,2,2,96
9161,96,6314,255,2,1,96
9162,96,63434,255,2,2,96
9163,96,6323,255,2,1,96
9164,96,63435,255,2,2,96
9165,96,6324,255,2,1,96
9166,96,63436,255,2,2,96
9167,96,63437,255,2,2,96
9168,97,63440,255,2,2,97
9169,97,6321,255,2,1,97
9170,97,63441,255,2,2,97
9171,97,63444,255,2,2,97
9172,97,5254,255,2,1,97
9173,97,5943,255,2,1,97
9174,97,63438,255,2,2,97
9175,97,6319,255,2,1,97
9176,97,63439,255,2,2,97
9177,98,6320,255,2,1,98
9178,98,63448,255,2,2,98
9179,98,63449,255,2,2,98
9180,98,63445,255,2,2,98
9181,98,63446,255,2,2,98
9182,98,3191,255,2,1,98
9183,98,63447,255,2,2,98
9184,99,6642,255,2,1,99
9185,99,6341,255,2,1,99
9186,99,63450,255,2,2,99
9187,99,1292,255,2,1,99
9188,99,63452,255,2,2,99
9189,99,63453,255,2,2,99
9190,99,3230,255,2,1,99
9191,99,63454,255,2,2,99
9192,99,63455,255,2,2,99
9193,100,63456,255,2,2,100
9194,100,6641,255,2,1,100
9195,100,63457,255,2,2,100
9196,100,63458,255,2,2,100
9197,100,63459,255,2,2,100
9198,100,3748,255,2,1,100
9200,100,63461,255,2,2,100
9201,100,63462,255,2,2,100
9202,100,63463,255,2,2,100
9203,100,63464,255,2,2,100
9204,100,63465,255,2,2,100
9205,100,6220,255,2,1,100
9206,100,6318,255,2,1,100
9329,111,63043,255,2,3,111
9378,115,63040,255,2,3,115
9591,139,60416,255,2,15,139
9592,139,60673,255,0,255,139
9593,139,60419,255,2,15,139
9594,139,60421,255,2,15,139
9595,139,60424,255,2,15,139
9596,139,60426,255,2,15,139
9597,139,60429,255,2,15,139
9598,139,60431,255,2,15,139
9599,139,60434,255,2,15,139
9600,139,60436,255,2,15,139
9601,139,60439,255,2,15,139
9602,139,60441,255,2,15,139
9603,139,60443,255,2,15,139
9604,139,60445,255,2,15,139
9605,139,60448,255,2,15,139
9606,139,60450,255,2,15,139
9607,139,60453,255,2,15,139
9608,139,60455,255,2,15,139
9609,139,60459,255,2,15,139
9610,139,60461,255,2,15,139
9611,139,60463,255,2,15,139
