id,unk_1,stack_amount,internal_cooldown,proc_chance,proc_charges,id_ppm,proc_flags_1,proc_flags_2,id_parent
3,0,0,500,100,0,0,40,0,71
5,0,20,0,101,0,0,0,0,96
6,0,0,0,101,0,0,0,0,99
9,0,0,0,100,0,0,2148182696,0,118
10,0,0,0,100,0,0,2148147880,0,122
11,0,0,0,101,0,0,0,0,133
13,0,0,0,100,0,0,664232,0,339
14,0,0,0,101,0,0,0,0,355
16,0,0,0,101,0,0,0,0,408
17,0,0,0,100,0,0,2148147880,0,512
18,0,0,0,100,0,0,0,0,589
19,0,0,0,101,0,0,0,0,605
22,0,0,0,101,0,0,0,0,710
23,0,0,0,35,0,0,20,0,742
24,0,0,0,101,0,0,0,0,768
26,0,0,0,101,0,0,0,0,783
27,0,0,0,101,0,0,0,0,853
28,0,0,3000,100,9,0,172712,0,974
29,0,0,0,101,0,0,0,0,1066
30,0,0,0,101,0,0,0,0,1098
33,0,0,0,101,0,0,0,0,1160
41,0,0,0,100,1,0,664232,0,1776
42,0,0,0,100,1,0,664232,0,1784
43,0,0,0,101,0,0,0,0,1833
44,0,20,0,101,0,0,0,0,1834
46,0,0,0,100,1,0,664232,0,2094
48,0,0,0,101,0,0,0,0,2096
51,0,0,0,100,0,0,2148147880,0,2479
52,0,0,0,101,0,0,0,0,2637
55,0,0,0,30,0,0,276,0,2823
57,0,0,0,30,0,0,20,0,2880
58,0,0,0,101,0,0,0,0,2969
60,0,0,0,101,0,0,40,0,3169
62,0,0,0,15,0,0,40,0,3235
63,0,0,16000,10,0,0,40,0,3284
64,0,0,10000,25,0,0,131752,0,3338
65,0,0,0,101,0,0,2148182696,0,3355
67,0,0,12000,15,0,0,20,0,3394
68,0,0,0,50,0,0,276,0,3408
71,0,0,4000,10,0,0,20,0,3417
72,0,0,0,10,0,0,40,0,3418
73,0,0,0,35,0,0,20,0,3424
75,0,0,0,10,0,0,40,0,3439
76,0,0,0,5,0,0,20,0,3440
77,0,0,0,100,0,0,20,0,3509
78,0,0,0,100,0,0,20,0,3512
79,0,0,10000,10,0,0,20,0,3582
80,0,0,0,15,0,0,20,0,3616
81,0,0,0,10,0,0,40,0,3637
83,0,0,0,2,0,0,40,0,4070
84,0,0,0,101,0,0,40,0,4071
85,0,0,0,5,0,0,40,0,4112
86,0,0,0,6,0,0,40,0,4113
87,0,0,0,8,0,0,40,0,4114
88,0,0,0,7,0,0,40,0,4115
89,0,0,0,5,0,0,40,0,4133
90,0,0,0,7,0,0,40,0,4136
91,0,0,0,9,0,0,40,0,4138
92,0,0,0,11,0,0,40,0,4140
93,0,0,0,100,0,0,2,0,4142
94,0,0,0,5,0,0,20,0,4144
95,0,0,0,5,0,0,20,0,4241
97,0,0,0,5,0,0,20,0,4245
98,0,0,0,5,0,0,20,0,4279
99,0,0,0,5,0,0,20,0,4283
100,0,0,0,5,0,0,20,0,4284
102,0,0,0,5,0,0,20,0,4315
103,0,0,0,5,0,0,20,0,4317
104,0,0,0,100,5,0,65536,0,4341
105,0,0,0,2,0,0,20,0,4493
106,0,0,0,15,0,0,40,0,4525
108,0,0,0,100,0,0,40,0,4932
109,0,0,0,20,10,0,40,0,4951
110,0,0,0,5,0,0,20,0,5104
115,0,0,0,101,0,0,0,0,5211
116,0,0,0,100,1,0,664232,0,5215
117,0,0,0,100,0,0,2148147880,0,5246
118,0,0,0,100,0,0,20,0,5262
119,0,0,3000,100,0,0,680,0,5301
120,0,0,0,100,1,0,4112,0,5302
122,0,0,0,15,0,0,40,0,5364
123,0,0,0,15,0,0,40,0,5368
