id,unk_1,category_cooldown,cooldown,gcd_cooldown,id_parent
2,0,0,0,1500,17
5,0,0,0,1000,53
6,0,300000,0,1500,66
13,0,0,30000,1500,99
15,0,5000,0,1500,101
17,0,0,60000,0,111
18,0,0,60000,0,112
20,0,0,0,1500,116
21,0,0,0,1500,118
22,0,0,12000,1500,120
23,0,0,0,1500,122
25,0,0,0,1500,126
26,0,0,0,1500,130
29,0,0,0,1500,133
30,0,15000,0,0,134
31,0,0,10000,1500,136
32,0,0,0,1500,139
35,0,0,0,1500,228
40,0,0,0,1500,339
41,0,0,0,1500,348
42,0,8000,0,0,355
43,0,0,0,1500,370
44,0,0,0,1500,403
45,0,20000,0,1000,408
46,0,0,0,1500,421
53,0,60000,0,0,436
54,0,60000,0,0,438
55,0,60000,0,0,439
56,0,60000,0,0,440
57,0,60000,0,0,441
62,0,0,45000,1500,467
64,0,0,8000,1500,475
66,0,0,60000,0,498
67,0,0,0,1500,512
68,0,8000,0,1500,527
69,0,0,0,1500,528
70,0,0,0,1500,546
71,0,0,0,1500,550
73,0,600000,0,1500,556
74,0,0,0,1500,585
78,0,0,0,1500,589
79,0,0,0,1500,596
81,0,0,0,1500,603
82,0,0,0,1500,605
83,0,0,0,1500,606
84,0,600000,0,0,633
86,0,0,300000,1500,642
88,0,0,0,1500,686
90,0,0,0,1500,688
92,0,0,0,1500,691
95,0,0,0,1500,697
96,0,0,120000,1500,698
97,0,0,0,1500,700
99,0,0,6000,1000,703
100,0,0,0,1500,710
101,0,0,0,1500,712
103,0,180000,0,1500,740
104,0,0,600000,0,742
105,0,0,0,1500,746
106,0,0,0,1500,755
108,0,0,0,1500,768
110,0,0,0,1500,772
111,0,0,0,1500,774
114,0,0,0,1500,783
115,0,2000,0,0,800
116,0,300000,0,0,818
117,0,0,300000,0,823
118,0,0,300000,0,829
119,0,0,300000,0,830
120,0,0,9000,1500,845
121,0,0,0,1500,851
122,0,60000,0,1500,853
124,0,0,240000,0,871
126,0,0,0,1500,883
127,0,360000,0,0,932
128,0,0,0,1500,974
129,0,0,0,1500,980
130,0,0,0,1500,982
132,0,0,1500,1500,1022
134,0,0,1500,1500,1044
135,0,6000,600000,0,1050
136,0,0,0,1500,1064
138,0,0,0,1000,1079
140,0,0,0,1500,1090
141,0,0,0,1500,1098
143,0,180000,0,1500,1122
147,0,0,0,1000,1130
152,0,0,0,1500,1159
153,0,0,45000,1500,1160
155,0,0,0,1000,1329
156,0,0,0,1500,1449
157,0,0,0,1500,1454
158,0,0,0,1500,1459
159,0,0,0,1500,1462
161,0,0,0,1500,1464
167,0,0,0,1500,1515
168,0,0,60000,0,1516
169,0,0,0,1500,1528
170,0,0,0,1500,1535
171,0,0,20000,1500,1543
174,0,0,0,1500,1680
175,0,0,0,1500,1706
179,0,30000,0,1000,1725
181,0,0,0,1000,1752
182,0,0,15000,0,1766
183,0,15000,0,1000,1776
184,0,0,2000,0,1784
189,0,0,0,1000,1822
190,0,0,0,1500,1825
191,0,0,0,1000,1833
192,0,0,0,1500,1834
193,0,120000,0,1500,1850
194,0,120000,0,0,1856
195,0,0,0,1000,1943
196,0,0,0,1500,1949
197,0,0,500,1500,1953
198,0,0,15000,1000,1966
200,0,0,0,1500,2006
201,0,0,0,1500,2008
202,0,60000,0,0,2023
203,0,60000,0,0,2024
204,0,0,0,1500,2050
205,0,0,0,1500,2060
206,0,0,0,1500,2061
208,0,0,120000,1000,2094
209,0,0,0,1500,2096
210,0,0,0,1000,2098
211,0,0,0,1500,2120
213,0,24000,0,0,2139
215,0,60000,0,0,2370
216,0,1500,0,0,2383
219,0,1500,0,0,2481
220,0,0,30000,1000,2484
222,0,1500,0,0,2580
224,0,60000,0,0,2597
226,0,60000,0,0,2599
227,0,60000,0,0,2600
230,0,6000,0,1500,2606
235,0,10000,0,0,2629
236,0,10000,0,0,2630
237,0,0,0,1500,2637
239,0,0,0,1500,2641
240,0,0,0,1500,2643
241,0,0,0,1500,2645
243,0,8000,0,0,2649
244,0,0,6000,0,2676
246,0,0,8000,1500,2782
248,0,0,300000,0,2825
249,0,0,1500,0,2836
251,0,0,0,1500,2871
253,0,0,10000,1500,2908
254,0,0,0,1500,2912
256,0,0,0,1500,2948
259,0,120000,0,0,2983
260,0,40000,0,0,3019
265,0,3000,0,0,3106
266,0,10000,0,0,3109
268,0,30000,0,0,3130
269,0,10000,0,0,3131
270,0,30000,0,0,3132
272,0,15000,0,0,3145
273,0,30000,0,0,3146
276,0,30000,0,0,3151
277,0,600000,0,0,3204
285,0,45000,0,0,3238
286,0,30000,0,0,3247
287,0,30000,0,0,3252
289,0,0,0,1500,3267
290,0,0,0,1500,3268
291,0,10000,0,0,3332
292,0,180000,0,0,3335
293,0,10000,0,0,3385
295,0,60000,0,0,3416
297,0,70000,0,0,3446
298,0,20000,0,0,3499
299,0,0,20000,0,3527
300,0,60000,0,0,3542
301,0,25000,0,0,3547
303,0,0,0,1500,3561
304,0,0,0,1500,3562
305,0,0,0,1500,3563
306,0,0,0,1500,3565
307,0,0,0,1500,3566
308,0,0,0,1500,3567
310,0,180000,0,0,3584
311,0,180000,0,0,3586
312,0,10000,0,0,3592
314,0,45000,0,0,3603
316,0,45000,0,0,3635
317,0,30000,0,0,3650
318,0,30000,0,0,3651
320,0,600000,0,0,3680
321,0,0,0,1500,3714
322,0,0,0,1000,3716
323,0,10000,0,0,3720
326,0,7000,0,0,3823
327,0,30000,0,0,3827
328,0,60000,0,0,4042
329,0,0,0,1500,4055
330,0,600000,0,0,4079
334,0,300000,0,0,4104
335,0,300000,0,0,4105
336,0,45000,0,0,4146
340,0,120000,0,0,4150
347,0,5000,0,0,4170
354,0,45000,0,0,4320
356,0,0,500,0,4336
357,0,0,300000,0,4338
358,0,0,5000,0,4342
360,0,180000,0,0,4520
361,0,120000,0,0,4526
362,0,300000,0,0,4538
363,0,300000,0,0,4539
364,0,300000,0,0,4629
368,0,30000,0,0,4948
369,0,45000,0,0,4955
370,0,8000,0,1500,4987
375,0,60000,0,0,5010
377,0,20000,0,0,5108
378,0,20000,0,0,5110
379,0,0,5000,1500,5116
382,0,0,0,1500,5143
383,0,0,10000,0,5164
385,0,0,0,1000,5171
386,0,0,0,1500,5176
390,0,50000,0,1500,5211
391,0,0,6000,0,5215
392,0,0,30000,0,5217
393,0,0,0,1000,5221
394,0,1500,0,0,5225
396,0,0,90000,1500,5246
397,0,240000,0,0,5252
398,0,90000,0,0,5256
399,0,120000,0,0,5277
400,0,0,6000,1500,5308
401,0,1000,0,0,5320
