id,desc,desc_2,id_property_1,id_property_2,id_property_3,coeff_1,coeff_2,coeff_3,unk_20,unk_5,unk_6,amount_1,amount_2,amount_3,id_aura,slot,req_skill,req_skill_value,min_scaling_level,charges,type_1,type_2,type_3,scaling_type,unk_19,unk_15,req_player_level,max_scaling_level
13,"Sharpened (+$k1 Damage)","",0,0,0,1.000000,0.000000,0.000000,0,0,0,3,0,0,28,33,0,0,5,0,2,0,0,-1,0,0,0,1
14,"Sharpened (+$k1 Damage)","",0,0,0,0.363700,0.000000,0.000000,0,0,0,4,0,0,28,33,0,0,15,0,2,0,0,-1,0,0,0,15
15,"Reinforced (+$k1 Armor)","",0,0,0,0.030000,0.000000,0.000000,0,0,0,8,0,0,0,32,0,0,1,0,4,0,0,-1,0,0,0,60
16,"Reinforced (+$k1 Armor)","",0,0,0,0.070000,0.000000,0.000000,0,0,0,16,0,0,0,32,0,0,5,0,4,0,0,-1,0,0,0,60
17,"Reinforced (+$k1 Armor)","",0,0,0,0.100000,0.000000,0.000000,0,0,0,24,0,0,0,32,0,0,20,0,4,0,0,-1,0,0,0,60
18,"Reinforced (+$k1 Armor)","",0,0,0,0.130000,0.000000,0.000000,0,0,0,32,0,0,0,32,0,0,30,0,4,0,0,-1,0,0,0,60
19,"Weighted (+$k1 Damage)","",0,0,0,0.666700,0.000000,0.000000,0,0,0,2,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
20,"Weighted (+$k1 Damage)","",0,0,0,1.000000,0.000000,0.000000,0,0,0,3,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
21,"Weighted (+$k1 Damage)","",0,0,0,0.363700,0.000000,0.000000,0,0,0,4,0,0,0,33,0,0,15,0,2,0,0,-1,0,0,0,15
24,"+$k1 Mana","",0,0,0,0.100000,0.000000,0.000000,0,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
